insee_com;postal_code
44049;44490
48132;48120
15006;15380
51220;51300
35308;35720
71181;71250
32192;32400
12162;12160
21393;21400
88056;88500
32190;32190
28113;28210
10081;10600
73259;73130
62465;62158
28106;28200
4091;4310
88412;88700
32364;32700
5021;5700
38539;38390
59239;59148
68276;68500
62154;62270
52528;52130
77462;77230
45342;45170
59083;59380
73041;73390
5018;5000
62529;62840
53147;53100
89317;89120
11127;11140
39099;39500
60377;60480
27689;27120
49296;49270
43255;43580
28184;28310
34166;34290
3126;3270
50358;50630
46206;46800
62566;62240
10224;10350
71014;71400
12281;12200
47111;47260
65355;65100
47197;47600
49026;49370
1290;1800
82084;82190
10225;10400
14410;14370
3032;3390
27403;27400
31109;31420
2693;2210
78524;78150
33271;33690
7183;7120
5089;5700
1109;1550
5159;5300
51301;51150
72148;72110
95584;95640
70116;70400
38053;38300
57722;57130
74205;74490
60354;60210
79347;79200
24453;24800
88049;88260
52160;52110
88427;88170
72241;72450
62810;62580
11308;11170
2248;2350
11111;11200
67069;67470
12054;12240
55453;55220
57721;57370
89100;89690
60667;60410
57742;57870
78398;78490
38320;38390
69222;69620
2799;2210
2130;2500
69041;69240
62779;62760
31388;31380
74224;74800
60230;60510
26081;26120
9276;9100
60279;60117
1301;1310
30103;30390
11286;11160
56087;56780
28425;28320
64548;64370
65316;65670
14669;14170
47245;47120
21370;21110
8161;8250
25110;25300
30165;30340
61396;61560
15196;15220
1229;1340
76126;76680
71270;71000
25195;25410
23084;23360
80316;80260
59607;59218
78104;78930
24428;24800
51066;51300
55315;55290
72375;72400
92033;92380
27149;27230
70203;70000
78168;78310
67325;67280
71357;71270
38010;38460
43253;43430
62480;62113
67052;67530
73103;73420
19212;19400
52372;52150
59626;59530
2465;2810
39428;39250
3253;3290
45080;45480
27621;27220
55476;55000
14184;14400
10308;10350
52488;52800
77239;77970
62291;62300
33414;33240
79043;79290
81224;81170
77014;77210
47009;47170
2485;2200
25340;25440
47180;47600
10012;10200
2374;2420
32421;32130
49002;49650
59382;59238
28063;28400
94074;94460
77481;77370
24294;24700
21688;21700
46215;46350
18183;18210
51035;51230
45010;45300
35229;35500
10319;10160
62107;62410
8399;8370
33305;33430
2123;2240
88334;88500
72018;72260
70479;70100
51529;51490
11302;11140
2712;2130
2125;2810
65107;65100
8101;8200
80493;80560
81141;81340
63078;63580
18273;18190
64439;64320
77376;77410
51447;51400
39540;39300
15053;15170
23167;23110
68089;68470
59188;59620
11050;11500
17059;17220
45277;45600
55114;55200
29209;29860
89049;89660
60390;60480
45019;45130
15040;15190
9275;9700
73115;73600
16002;16700
23130;23360
14707;14210
51065;51300
79195;79250
65003;65240
21559;21410
59060;59730
95483;95450
62706;62136
19277;19200
76401;76940
26177;26260
77366;77165
3288;3380
38382;38120
56142;56500
71425;71510
51290;51340
67270;67270
22243;22160
9300;9000
50551;50390
86253;86600
2782;2490
17068;17120
81019;81340
76345;76440
76262;76270
82038;82160
57745;57200
77412;77930
26008;26200
71341;71350
39351;39260
48087;48270
69010;69210
53045;53410
77319;77160
28142;28120
64378;64130
2B167;20214
55002;55400
32049;32110
23079;23500
55396;55190
71285;71220
67510;67170
85257;85700
62848;62131
26060;26460
25617;25190
27131;27300
45211;45220
25326;25170
88269;88400
65062;65690
26036;26310
14028;14140
49183;49370
40229;40200
14037;14260
55470;55000
78384;78670
14416;14380
77068;77520
62168;62650
52137;52160
46137;46090
59051;59480
89088;89110
88016;88260
76308;76590
62276;62138
80711;80610
72322;72320
11023;11800
80338;80800
38073;38740
32014;32120
89478;89290
56257;56490
25328;25720
10299;10700
59328;59130
53141;53210
78615;78850
15142;15260
57600;57330
21389;21500
63194;63190
31310;31290
79001;79240
53197;53390
77354;77830
47081;47110
38363;38270
48081;48000
91075;91150
29081;29690
86184;86380
35239;35240
70283;70440
64506;64490
24362;24510
17052;17150
2645;2850
69155;69590
53002;53240
7238;7230
51421;51120
54208;54200
47013;47250
63229;63190
29212;29280
8351;8400
41233;41120
63257;63210
79141;79600
61365;61170
87196;87320
8195;8190
12239;12130
74035;74150
63010;63220
71311;71500
